Año;Mes;T. Media;T. Máx;T. Mín;V. media Viento;Rachas máx;Presión media;Lluvia 
2000;1;10 °C;20 °C;1 °C;30.6 km/h;92.4 km/h;999.9 hPa;35.7 mm
2000;2;10 °C;20 °C;0 °C;19.1 km/h;68.3 km/h;1006.3 hPa;31.3 mm
2000;3;9 °C;21 °C;-2 °C;16.8 km/h;81.3 km/h;1006 hPa;54.4 mm
2000;4;7 °C;16 °C;-2 °C;21.9 km/h;114.8 km/h;1004 hPa;32.3 mm
2000;5;5 °C;12 °C;-5 °C;16.3 km/h;98.2 km/h;1011.8 hPa;36.4 mm
2000;6;1 °C;10 °C;-9 °C;15.8 km/h;68.3 km/h;1006.3 hPa;26.9 mm
2000;7;1 °C;6 °C;-10 °C;15.4 km/h;90 km/h;1009.5 hPa;50.8 mm
2000;8;3 °C;9 °C;-2 °C;22.9 km/h;77.8 km/h;1006.3 hPa;22.2 mm
2000;9;3 °C;12 °C;-7 °C;20.2 km/h;92.4 km/h;1015.3 hPa;25.4 mm
2000;10;6 °C;24 °C;-7 °C;25.8 km/h;92.4 km/h;1005.3 hPa;42.2 mm
2000;11;8 °C;17 °C;-1 °C;26.1 km/h;92.4 km/h;1002.4 hPa;39 mm
2000;12;9 °C;17 °C;1 °C;26.9 km/h;92.4 km/h;994.6 hPa;77.2 mm
2001;1;10 °C;20 °C;1 °C;26.1 km/h;111.1 km/h;997.8 hPa;85.3 mm
2001;2;9 °C;17 °C;2 °C;24.8 km/h;92.4 km/h;994.8 hPa;56.4 mm
2001;3;8 °C;18 °C;-2 °C;26.9 km/h;114.8 km/h;1001.6 hPa;42.9 mm
2001;4;7 °C;17 °C;-2 °C;26.6 km/h;114.8 km/h;1002.7 hPa;35.5 mm
2001;5;4 °C;11 °C;-3 °C;16.7 km/h;68.3 km/h;1004 hPa;54.3 mm
2001;6;2 °C;9 °C;-5 °C;19.4 km/h;96.5 km/h;1005.3 hPa;52.1 mm
2001;7;0 °C;7 °C;-10 °C;16 km/h;68.3 km/h;1009.8 hPa;26.9 mm
2001;8;2 °C;13 °C;-6 °C;20.9 km/h;92.4 km/h;1004.6 hPa;39.6 mm
2001;9;4 °C;17 °C;-3 °C;22 km/h;92.4 km/h;1011.4 hPa;27.5 mm
2001;10;7 °C;18 °C;-2 °C;24.7 km/h;107.2 km/h;1008.7 hPa;25.3 mm
2001;11;8 °C;18 °C;-1 °C;29.8 km/h;114.8 km/h;998.2 hPa;27.3 mm
2001;12;10 °C;20 °C;3 °C;28.7 km/h;92.4 km/h;1002.8 hPa;27.5 mm
2002;1;11 °C;21 °C;2 °C;27.2 km/h;77.8 km/h;1003 hPa;15.5 mm
2002;2;11 °C;25 °C;3 °C;26.1 km/h;92.4 km/h;1004.5 hPa;28.6 mm
2002;3;7 °C;18 °C;-2 °C;21.4 km/h;92.4 km/h;1003.7 hPa;28.6 mm
2002;4;6 °C;18 °C;0 °C;20.4 km/h;92.4 km/h;998.6 hPa;26.4 mm
2002;5;2 °C;8 °C;-6 °C;17 km/h;68.3 km/h;1006.6 hPa;18.5 mm
2002;6;1 °C;8 °C;-12 °C;20.9 km/h;92.4 km/h;1007.2 hPa;66.2 mm
2002;7;2 °C;9 °C;-8 °C;16.2 km/h;92.4 km/h;1009 hPa;34.6 mm
2002;8;2 °C;9 °C;-5 °C;18.1 km/h;68.3 km/h;1010.3 hPa;31.5 mm
2002;9;5 °C;14 °C;-6 °C;19 km/h;79.5 km/h;1006.6 hPa;49.6 mm
2002;10;5 °C;14 °C;-2 °C;21.3 km/h;98.2 km/h;997.5 hPa;47.1 mm
2002;11;8 °C;17 °C;0 °C;24.5 km/h;92.4 km/h;1000.8 hPa;47.6 mm
2002;12;11 °C;21 °C;1 °C;25.2 km/h;114.8 km/h;1000.8 hPa;28.7 mm
